6153;10631;sea;930;-1;-1;-1;-1;;(DO NOT OVERWRITE)Bosphorus
12474;12468;sea;12637;-1;-1;-1;-1;;(DO NOT OVERWRITE)Holyhead
12206;12306;sea;11993;-1;-1;-1;-1;;(DO NOT OVERWRITE)Firth
12407;12317;sea;11993;-1;-1;-1;-1;;(DO NOT OVERWRITE)Tay
3929;4074;impassable;-1;-1;-1;-1;-1;;
3840;3929;impassable;-1;-1;-1;-1;-1;;
3840;4069;impassable;-1;-1;-1;-1;-1;;
3887;4069;impassable;-1;-1;-1;-1;-1;;
3876;4069;impassable;-1;-1;-1;-1;-1;;
3876;4716;impassable;-1;-1;-1;-1;-1;;
4029;4716;impassable;-1;-1;-1;-1;-1;;
4169;5149;impassable;-1;-1;-1;-1;-1;;
4022;5149;impassable;-1;-1;-1;-1;-1;;
4022;6273;impassable;-1;-1;-1;-1;-1;;
3906;6273;impassable;-1;-1;-1;-1;-1;;
3906;5914;impassable;-1;-1;-1;-1;-1;;
3906;5734;impassable;-1;-1;-1;-1;-1;;
4072;5734;impassable;-1;-1;-1;-1;-1;;
4072;6255;impassable;-1;-1;-1;-1;-1;;
6255;4964;impassable;-1;-1;-1;-1;-1;;
4964;6295;impassable;-1;-1;-1;-1;-1;;
5594;4219;impassable;-1;-1;-1;-1;-1;;
5594;4210;impassable;-1;-1;-1;-1;-1;;
5669;4210;impassable;-1;-1;-1;-1;-1;;
3972;6113;impassable;-1;-1;-1;-1;-1;;
3963;6113;impassable;-1;-1;-1;-1;-1;;
3972;6048;impassable;-1;-1;-1;-1;-1;;
4021;6104;impassable;-1;-1;-1;-1;-1;;
3963;6104;impassable;-1;-1;-1;-1;-1;;
4165;6104;impassable;-1;-1;-1;-1;-1;;
4165;6129;impassable;-1;-1;-1;-1;-1;;
4009;6279;impassable;-1;-1;-1;-1;-1;;
4009;6156;impassable;-1;-1;-1;-1;-1;;
3971;6156;impassable;-1;-1;-1;-1;-1;;
4250;6156;impassable;-1;-1;-1;-1;-1;;
4434;6156;impassable;-1;-1;-1;-1;-1;;
4434;6151;impassable;-1;-1;-1;-1;-1;;
4379;6151;impassable;-1;-1;-1;-1;-1;;
4086;4813;impassable;-1;-1;-1;-1;-1;;
4430;4813;impassable;-1;-1;-1;-1;-1;;
4430;5076;impassable;-1;-1;-1;-1;-1;;
5570;5076;impassable;-1;-1;-1;-1;-1;;
5488;5570;impassable;-1;-1;-1;-1;-1;;
5488;5806;impassable;-1;-1;-1;-1;-1;;
5316;5806;impassable;-1;-1;-1;-1;-1;;
5316;5409;impassable;-1;-1;-1;-1;-1;;
5228;5409;impassable;-1;-1;-1;-1;-1;;
5407;5454;impassable;-1;-1;-1;-1;-1;;
5389;5775;impassable;-1;-1;-1;-1;-1;;
5407;5785;impassable;-1;-1;-1;-1;-1;;
5389;5846;impassable;-1;-1;-1;-1;-1;;
5407;5477;impassable;-1;-1;-1;-1;-1;;
5407;5845;impassable;-1;-1;-1;-1;-1;;
5420;5477;impassable;-1;-1;-1;-1;-1;;
5565;5846;impassable;-1;-1;-1;-1;-1;;
5315;5846;impassable;-1;-1;-1;-1;-1;;
5315;5845;impassable;-1;-1;-1;-1;-1;;
5178;5845;impassable;-1;-1;-1;-1;-1;;
5475;5477;impassable;-1;-1;-1;-1;-1;;
5178;5477;impassable;-1;-1;-1;-1;-1;;
