1;1626.00;9.80;1403.00;small
1;1647.00;9.70;1419.00;small
2;1714.00;10.85;1303.00;big
2;1742.00;12.80;1254.00;big
3;1591.00;10.20;1413.00;big
3;1615.00;9.90;1378.00;big
4;1552.00;9.70;1298.00;big
4;1611.00;9.93;1260.00;big
5;1607.00;9.85;1336.00;big
5;1614.00;9.90;1299.00;big
6;1460.00;9.70;1310.00;big
6;1504.00;9.80;1325.00;big
7;1716.00;10.95;1365.00;big
7;1744.00;11.30;1329.00;big
8;1541.00;9.70;1374.00;big
8;1581.00;9.80;1373.00;big
9;1695.00;10.20;1245.00;big
9;1665.00;11.55;1295.00;big
10;1650.00;10.98;1379.00;big
10;1680.00;11.55;1345.00;big
11;1701.00;10.80;1404.00;big
11;1708.00;9.70;1435.00;big
12;3664.00;9.90;1343.00;big
12;1229.00;9.50;1346.00;big
